week_starting,responder,handler,pings_sent,pings_taken
2026-08-17,Captain Vantage,Mr. Ambrose,15,11
2026-08-17,Cindermark,Farid Haddad,11,8
2026-08-17,Corporal Ashgrove,Yusuf Demir,8,5
2026-08-17,Farlight,Linda Pruitt,3,0
2026-08-17,Halfmoon,Simone Fischer,9,5
2026-08-17,Ironvale,Teresa Alvarez,10,6
2026-08-17,Meteor Mite,Kip,4,1
2026-08-17,Nightwell,Marjorie Sung,18,14
2026-08-17,Sgt. Bulwark,Halloran,10,8
2026-08-17,Sgt. Falkirk,Owen Bramwell,13,9
2026-08-17,Stormwrack,Renata Kovač,16,12
2026-08-17,The Drift,Beatrice Calloway,7,5
2026-08-17,The Gale,Kip,17,12
2026-08-17,The Longcast,Graham Petrov,8,6
2026-08-17,The Undertow,Desmond Okafor,4,1
2026-08-17,Vesper,Aunt Dot,5,1
2026-08-24,Captain Vantage,Mr. Ambrose,17,13
2026-08-24,Cindermark,Farid Haddad,12,8
2026-08-24,Corporal Ashgrove,Yusuf Demir,7,5
2026-08-24,Farlight,Linda Pruitt,1,0
2026-08-24,Halfmoon,Simone Fischer,8,5
2026-08-24,Ironvale,Teresa Alvarez,11,8
2026-08-24,Meteor Mite,Kip,2,0
2026-08-24,Nightwell,Marjorie Sung,20,13
2026-08-24,Sgt. Bulwark,Halloran,11,7
2026-08-24,Sgt. Falkirk,Owen Bramwell,15,11
2026-08-24,Stormwrack,Renata Kovač,18,13
2026-08-24,The Drift,Beatrice Calloway,8,6
2026-08-24,The Gale,Kip,20,14
2026-08-24,The Longcast,Graham Petrov,9,5
2026-08-24,The Undertow,Desmond Okafor,1,0
2026-08-24,Vesper,Aunt Dot,2,0
2026-08-31,Captain Vantage,Mr. Ambrose,18,13
2026-08-31,Cindermark,Farid Haddad,12,9
2026-08-31,Corporal Ashgrove,Yusuf Demir,7,5
2026-08-31,Farlight,Linda Pruitt,0,0
2026-08-31,Halfmoon,Simone Fischer,8,7
2026-08-31,Ironvale,Teresa Alvarez,12,9
2026-08-31,Meteor Mite,Kip,1,0
2026-08-31,Nightwell,Marjorie Sung,21,15
2026-08-31,Sgt. Bulwark,Halloran,11,8
2026-08-31,Sgt. Falkirk,Owen Bramwell,16,11
2026-08-31,Stormwrack,Renata Kovač,19,15
2026-08-31,The Drift,Beatrice Calloway,8,5
2026-08-31,The Gale,Kip,21,16
2026-08-31,The Longcast,Graham Petrov,9,7
2026-08-31,The Undertow,Desmond Okafor,1,0
2026-08-31,Vesper,Aunt Dot,1,0
